뜨로게스테론 프로게스테론
에스몰롤 에스몰롤
에스트라디올(USP) 에스트라디올
에스트라뮤스틴 에스트라뮤스틴
에스트리올(USP) 에스트리올
에스트로피페이트 에스트로피페이트
에티닐에스트라디올(KP) 에티닐에스트라디올
에토숙시미드 에토숙시미드
에틸로플라제팜(KPC) 에틸로플라제팜
에티졸람 에티졸람
에토돌락(USP) 에토돌락
에토피브레이트 에토피브레이트
에토포시드(KPC) 에토포시드
에베로리무스 에베로리무스
엑세메스탄(JP) 엑세메스탄
엑세나다이드 엑세나타이드
에제티미브(JP) 에제티미브
페북소스다트 페북소스타트
펠로디핀(KP) 펠로디핀
페노피브레이트 페노피브레이트
페노프로펜(JP) 페노프로펜
펜다닐 펜타닐
페소테로딘(USP) 페소테로딘
펙소페나딘 펙소페나딘
피마사르탄(KP) 피마사르탄
피나스테리드 피나스테리드
핑골리모드(KPC) 핑골리모드
플레가이니드 플레카이니드
플레록사신(KHP) 플레록사신
플루코나졸 플루코나졸
플루다라빈(KP) 플루다라빈
플루드로코르티손 플루드로코르티손
플루페남산(KPC) 플루페남산
플루나리진 플루나리진
플루니트라제팜(KHP) 플루니트라제팜
플루오로뜨로필씨야이티 플루오로프로필씨아이티
플루오로우라실(KPC) 플루오로우라실
플루옥시메스테론 플루옥시메스테론
플루라제팜(KHP) 플루라제팜
플루르니뜨로펜 플루르비프로펜
플루타미드(KHP) 플루타미드
플루티가손 플루티카손
플루바스타틴(JP) 플루바스타틴
폴리트로민 폴리트로핀
포시노프릴(KP) 포시노프릴
포스페니토인 포스페니토인
프로바트립탄(KPC) 프로바트립탄
풀베스트란트 풀베스트란트
푸로세미드(KHP) 푸로세미드
가벡세이트 가벡세이트
가도부트롤(KP) 가도부트롤
가돌리늄 가돌리늄
간시클로버(KP) 간시클로버
가니렐릭스 가니렐릭스
가티플록사신(JP) 가티플록사신
게피티닙 게피티닙
젬시타빈(JP) 젬시타빈
젬피브로질 젬피브로질
제미플록사신(KPC) 제미플록사신
제미글립틴 제미글립틴
겐타마이신(KHP) 겐타마이신
게스트리논 게스트리논
글라티라머(KPC) 글라티라머
글리벤클라미드 글리벤클라미드
글리클라짓(JP) 글리클라짓
글리메피리드 글리메피리드
글리피짓(USP) 글리피짓
글루가메다신 글루카메타신
골리무맙(USP) 골리무맙
고세렐린 고세렐린
그리세오풀빈(JP) 그리세오풀빈
할로페리돌 할로페리돌
헵타플라틴(KHP) 헵타플라틴
히드랄라진 히드랄라진
하이드로코르티손(KHP) 하이드로코르티손
하이드록시클로로퀸 하이드록시클로로퀸
하이드록시프로게스테론(KP) 하이드록시프로게스테론
하이드록시유레야 하이드록시유레아
하이드록시진(KPC) 하이드록시진
이반드론산 이반드론산
이브리툭시모맙(USP) 이브리툭시모맙
이부뜨로펜 이부프로펜
이다루비신(KPC) 이다루비신
이포스파미드 이포스파미드
이구라티모드(KP) 이구라티모드
일라뜨라졸 일라프라졸
일로프로스트(JP) 일로프로스트
이마티닙 이마티닙
이미다페나신(KHP) 이미다페나신
이미다뜨릴 이미다프릴
이미다졸살리실레이트(USP) 이미다졸살리실레이트
이미뜨라민 이미프라민
이나민론(JP) 이나민론
인다가테롤 인다카테롤
인도메타신(KHP) 인도메타신
인슐린미글루덱 인슐린디글루덱
인슐린아스파트(KP) 인슐린아스파트
인슐린글라진 인슐린글라진
인슐린글루리신(KPC) 인슐린글루리신
인터페론베다-1a 인터페론베타-1a
인터페론베타-1b(USP) 인터페론베타-1b
알데스류킨 알데스류킨
인터류킨-2(KPC) 인터류킨-2
이뜨라글리플로진 이프라글리플로진
이르베사르탄(KPC) 이르베사르탄
이리노테칸 이리노테칸
이소플루란(USP) 이소플루란
유노뜨로스톤 유노프로스톤
이소소르비드질산염(KHP) 이소소르비드질산염
이소소르니드일질산염 이소소르비드일질산염
이소트레티노인(KP) 이소트레티노인
이스라미민 이스라디핀
이트라코나졸(JP) 이트라코나졸
이파브라딘 이바브라딘
이자베필론(USP) 이자베필론
가나마이신 카나마이신
케토코나졸(JP) 케토코나졸
케토뜨로펜 케토프로펜
케토롤락(USP) 케토롤락
라시미민 라시디핀
라코사미드(USP) 라코사미드
라모트리진 라모트리진
란레오타이드(KP) 란레오타이드
라파티닙 라파티닙
아스파라기나제(KPC) 아스파라기나제
레플루노마이드 레플루노마이드
레날리도마이드(JP) 레날리도마이드
레르가니미민 레르카니디핀
레트로졸(KP) 레트로졸
류뜨롤리드 류프롤리드
류프로렐린(KPC) 류프로렐린
레베티라세탐 레베티라세탐
레보도파(KP) 레보도파
레보플록사신 레보플록사신
레보메프로마진(USP) 레보메프로마진
레보놀게스트렐 레보놀게스트렐
리마프로스트(KHP) 리마프로스트
리나글립틴 리나글립틴
리라글루타이드(KPC) 리라글루타이드
리시노뜨릴 리시노프릴
탄산리튬(KPC) 탄산리튬
리시세나다이드 리시세나타이드
로베글리타존(USP) 로베글리타존
로메플록사신 로메플록사신
로나졸락(JP) 로나졸락
로라제팜 로라제팜
론옥시캄(USP) 론옥시캄
로사르탄 로사르탄
로테프레드놀(KHP) 로테프레드놀
로파스다틴 로바스타틴
록소프로펜(USP) 록소프로펜
마그네슘살리실레이트 마그네슘살리실레이트
마니디핀(KPC) 마니디핀
메벤다졸 메벤다졸
메클로페낙산(KPC) 메클로페낙산
메드록시뜨로게스테론 메드록시프로게스테론
메펜남산(USP) 메펜남산
메플로퀸 메플로퀸
메게스트롤(JP) 메게스트롤
멜록시캄 멜록시캄
멜팔란(KHP) 멜팔란
메노트로민 메노트로핀
메르캅토퓨린(KHP) 메르캅토퓨린
메트포르민 메트포르민
메타사이클린(KP) 메타사이클린
메티마졸 메티마졸
메토트렉세이트(KPC) 메토트렉세이트
메틸렌블루 메틸렌블루
메틸에르고메트린(JP) 메틸에르고메트린
메틸뜨레드니솔론 메틸프레드니솔론
메토프롤롤(KPC) 메토프롤롤
멕사졸람 멕사졸람
마시텐탄(KPC) 마시텐탄
미다졸람 미다졸람
미글루타스(KP) 미글루타스
미노사이클린 미노사이클린
미녹시딜(JP) 미녹시딜
미라베그론 미라베그론
미소프로스톨(KHP) 미소프로스톨
미티글리니드 미티글리니드
미토마이신C(KHP) 미토마이신C
미토다네 미토타네
미톡산트론(JP) 미톡산트론
미조리빈 미조리빈
모다피닐(KHP) 모다피닐
모엑시뜨릴 모엑시프릴
몰린돈(KPC) 몰린돈
모니플루메이트 모니플루메이트
모르핀(KPC) 모르핀
목시플록사신 목시플록사신
목소니딘(KP) 목소니딘
미코페놀레이트 미코페놀레이트
나부메톤(KP) 나부메톤
나돌롤 나돌롤
나파모스타트(JP) 나파모스타트
날부민 날부핀
날리딕스산(KPC) 날리딕스산
난드롤론 난드롤론
나프록센(KP) 나프록센
나라트리뜨탄 나라트리프탄
나테글리나이드(KHP) 나테글리나이드
네니볼롤 네비볼롤
네포팜(KPC) 네포팜
네모나뜨리드 네모나프리드
네오마이신(JP) 네오마이신
네틸리신 네틸리신
니카르디핀(USP) 니카르디핀
니코틴 니코틴
니코틴산(KPC) 니코틴산
니페미민 니페디핀
닐로티닙(KP) 닐로티닙
닐파미민 닐바디핀
니메술리드(USP) 니메술리드
니모미민 니모디핀
니무스틴(KP) 니무스틴
니뜨라딜롤 니프라딜롤
니솔디핀(USP) 니솔디핀
니트렌미민 니트렌디핀
니트로프루시드(KPC) 니트로프루시드
노르에피네뜨린 노르에피네프린
노르에티스테론(JP) 노르에티스테론
에스트라미올 에스트라디올
노르플록사신(KP) 노르플록사신
노르트립틸린 노르트립틸린
오플록사신(KPC) 오플록사신
올라자민 올라자핀
올메사르탄(KP) 올메사르탄
올라파다딘 올라파타딘
올파드로나트(KPC) 올파드로나트
오르페나드린 오르페나드린
옥살리플라틴(KP) 옥살리플라틴
옥산드롤론 옥산드롤론
옥사프로진(KHP) 옥사프로진
옥사토미드 옥사토미드
옥스카르바제핀(USP) 옥스카르바제핀
옥시라세탐 옥시라세탐
옥시메토론(USP) 옥시메토론
옥시테트라사이클린 옥시테트라사이클린
옥시토신(KP) 옥시토신
파클리탁셀 파클리탁셀
팔리페리돈(KHP) 팔리페리돈
파미드로네이트 파미드로네이트
파니투무맙(KPC) 파니투무맙
파록세틴 파록세틴
파조파닙(JP) 파조파닙
파주플록사신 파주플록사신
펠루비프로펜(JP) 펠루비프로펜
페메트렉세드 페메트렉세드
페미롤라스트(KHP) 페미롤라스트
펜부톨롤 펜부톨롤
펜타조신(KPC) 펜타조신
펜토파르니탈 펜토바르비탈
펜토스타틴(USP) 펜토스타틴
페라미니르 페라미비르
과플루오르부탄(USP) 과플루오르부탄
페린도뜨릴 페린도프릴
펄페나진(KHP) 펄페나진
페르투주맙 페르투주맙
페타딘(USP) 페타딘
페니라민 페니라민
페노바르비탈(KPC) 페노바르비탈
펜톨라민 펜톨라민
페니토인(USP) 페니토인
필시가이니드 필시카이니드
피모자이드(USP) 피모자이드
피나제팜 피나제팜
피오글리타존(KHP) 피오글리타존
피페미드산 피페미드산
피록시캠(JP) 피록시캠
피다파스다틴 피타바스타틴
플레릭사포르(KHP) 플레릭사포르
폴라뜨레징크 폴라프레징크
포르피머나트륨(USP) 포르피머나트륨
요오드화칼륨 요오드화칼륨
프랄라트렉세이트(KPC) 프랄라트렉세이트
뜨라미펙솔 프라미펙솔
프란루카스트(JP) 프란루카스트
뜨라노뜨로펜 프라노프로펜
프라바스타틴(KP) 프라바스타틴
뜨레드니솔론 프레드니솔론
프레가발린(KP) 프레가발린
뜨리마퀸 프리마퀸
프리미돈(KPC) 프리미돈
뜨로부콜 프로부콜
프로글루메타신(USP) 프로글루메타신
뜨로파세다몰 프로파세타몰
프로파페논(KHP) 프로파페논
뜨로뜨라놀롤 프로프라놀롤
프로필티오우라실(JP) 프로필티오우라실
뜨루칼로뜨라이드 프루칼로프라이드
프룰리플록사신(USP) 프룰리플록사신
피라진부다존 피라진부타존
피로나리딘(USP) 피로나리딘
퀘티야민 퀘티아핀
퀴나프릴(KP) 퀴나프릴
퀴니딘 퀴니딘
퀴누프라민(KP) 퀴누프라민
라도티닙 라도티닙
랄록시펜(KHP) 랄록시펜
랄테그라니르 랄테그라비르
라미프릴(JP) 라미프릴
라니니주맙 라니비주맙
라사길린(JP) 라사길린
레고라페닙 레고라페닙
레파글리니드(JP) 레파글리니드
레다파물린 레타파물린
리바비린(KPC) 리바비린
릴루졸 릴루졸
리세드로네이트(KPC) 리세드로네이트
리스페리돈 리스페리돈
리툭시맙(KHP) 리툭시맙
리파록사반 리바록사반
로플루밀라스트(KHP) 로플루밀라스트
로피니롤 로피니롤
로수바스타틴(KP) 로수바스타틴
로티고틴 로티고틴
살살레이트(KPC) 살살레이트
사포그렐레이트 사포그렐레이트
삭사글립틴(KP) 삭사글립틴
셀레길린 셀레길린
센나엑스(KHP) 센나엑스
센노사이드 센노사이드
심바스타틴(KPC) 심바스타틴
시다글립틴 시타글립틴
요오드화나트륨(USP) 요오드화나트륨
살리실산나트륨 살리실산나트륨
소라페닙(KP) 소라페닙
소다롤 소타롤
스파르플록사신(KPC) 스파르플록사신
스피로놀락톤 스피로놀락톤
스타노조롤(KHP) 스타노조롤
스트렙토코쿠스피요게나제 스트렙토코쿠스피요게나제
스트렙토마이신(JP) 스트렙토마이신
스트론튬라넬레이트 스트론튬라넬레이트
설린닥(KPC) 설린닥
설피리드 설피리드
수마트립탄(USP) 수마트립탄
수니티닙 수니티닙
타크로리무스(KHP) 타크로리무스
다플루뜨로스트 타플루프로스트
탈니플루메이트(USP) 탈니플루메이트
다목시펜 타목시펜
테가푸르(JP) 테가푸르
우라실 우라실
오테라실(KHP) 오테라실
텔미사르탄 텔미사르탄
테모카프릴(KHP) 테모카프릴
테모졸로미드 테모졸로미드
템시롤리무스(KPC) 템시롤리무스
테네리글립틴 테네리글립틴
테녹시캄(KHP) 테녹시캄
테를리뜨레신 테를리프레신
테스토스테론(KHP) 테스토스테론
테트라사이클린 테트라사이클린
탈리도마이드(USP) 탈리도마이드
티오콜키코시드 티오콜키코시드
무정형에스신(KHP) 무정형에스신
티오테파 티오테파
티오칙센(KPC) 티오칙센
티모펜틴 티모펜틴
티아프로펜산(USP) 티아프로펜산
티볼론 티볼론
티카그렐러(KPC) 티카그렐러
티게사이클린 티게사이클린
토브라마이신(KPC) 토브라마이신
토실리주맙 토실리주맙
톨페남산(KPC) 톨페남산
톨메틴 톨메틴
톨바프탄(KPC) 톨바프탄
토피라메이트 토피라메이트
토포테칸(KPC) 토포테칸
토레미펜 토레미펜
토르세미드(KP) 토르세미드
토수폭사신 토수폭사신
트라베덱틴(JP) 트라베덱틴
트라페르민 트라페르민
트라마돌(KPC) 트라마돌
트라닐라스트 트라닐라스트
트라스투주맙(USP) 트라스투주맙
트라보뜨로스트 트라보프로스트
트레프로스티닐(USP) 트레프로스티닐
트레티노인 트레티노인
트리암시놀론(KPC) 트리암시놀론
트리암테렌 트리암테렌
트리아졸람(KPC) 트리아졸람
트리플루오페라진 트리플루오페라진
트립토렐린(JP) 트립토렐린
트로피세트론 트로피세트론
우베니멕스(USP) 우베니멕스
울리뜨리스탈 울리프리스탈
발간시클로비르(KP) 발간시클로비르
발뜨로산 발프로산
발사르탄(KPC) 발사르탄
베무라페닙 베무라페닙
베라파밀(KHP) 베라파밀
니가파트린 비가바트린
빌다글립틴(USP) 빌다글립틴
빈블라스틴 빈블라스틴
빈크리스틴(USP) 빈크리스틴
빈노렐빈 빈노렐빈
비스모데집(JP) 비스모데집
레티놀 레티놀
비타민A(JP) 비타민A
보글리보스 보글리보스
보리코나졸(JP) 보리코나졸
보리노스다트 보리노스타트
와파린(KHP) 와파린
잘토뜨로펜 잘토프로펜
지프라시돈(KP) 지프라시돈
조페니뜨릴 조페니프릴
졸레드론산(KHP) 졸레드론산
졸미트리뜨탄 졸미트리프탄
조니사미드(JP) 조니사미드
죠테민 죠테핀
주클로펜티콜(KP) 주클로펜티콜
약독황열생파이러스백신 약독황열생바이러스백신
토파시티닙(KPC) 토파시티닙
에토리콕시브 에토리콕시브
타펜타돌(KP) 타펜타돌
야파티닙 아파티닙
테르토모타이드(KPC) 테르토모타이드
데노수맙 데노수맙
플로르베타벤(18F)(JP) 플로르베타벤(18F)
빌란테롤 빌란테롤
유메클리디늄(KP) 유메클리디늄
부뜨로피온 부프로피온
로라타딘(JP) 로라타딘
알리트레티노인 알리트레티노인
클라리트로마이신(JP) 클라리트로마이신
미리트로마이신 디리트로마이신
에리트로마이신(JP) 에리트로마이신
야세틸설피속사졸 아세틸설피속사졸
콜리스틴(KPC) 콜리스틴
키다사이신 키타사이신
미데카마이신(KHP) 미데카마이신
로키다마이신 로키타마이신
로시트로마이신(KP) 로시트로마이신
야르베가신 아르베카신
아스트로마이신(USP) 아스트로마이신
이세파마이신 이세파마이신
마이크로노마이신(USP) 마이크로노마이신
리보스다마이신 리보스타마이신
시소마이신(KP) 시소마이신
테이코플라닌 테이코플라닌
반코마이신(JP) 반코마이신
클린다마이신 클린다마이신
가수과산화벤조일(KPC) 가수과산화벤조일
린코마이신 린코마이신
클로람페니콜(USP) 클로람페니콜
테트라히드로졸린 테트라히드로졸린
덱사메타손(KPC) 덱사메타손
티야민페니콜 티아민페니콜
페플록사신(KPC) 페플록사신
에르다페넴 에르타페넴
실라스타틴(KPC) 실라스타틴
이미페넴 이미페넴
메로페넴(KP) 메로페넴
베다미뜨론 베타미프론
파니페넴(KP) 파니페넴
야즈트레오남 아즈트레오남
콜리스틴(KHP) 콜리스틴
푸시딕산 푸시딕산
리네졸리드(KP) 리네졸리드
리팍시민 리팍시민
스펙티노마이신(JP) 스펙티노마이신
야파나필 아바나필
미로데나필(USP) 미로데나필
실데나필 실데나필
타다라필(JP) 타다라필
유데나필 유데나필
바데나필(JP) 바데나필
에페드린 에페드린
테르부탈린(USP) 테르부탈린
에독사반 에독사반
코데인(KP) 코데인
메살라진 메살라진
티오트로퓸(KPC) 티오트로퓸
올로다테롤 올로다테롤
플루트메타몰(18F)(KP) 플루트메타몰(18F)
렌파티닙 렌바티닙
페람페넬(KHP) 페람페넬
폴마콕시브 폴마콕시브
로카세린(USP) 로카세린
세쿠키누맙 세쿠키누맙
알비글루타이드(JP) 알비글루타이드
야나글립틴 아나글립틴
둘라글루타이드(JP) 둘라글루타이드
에보글립틴 에보글립틴
라무시루맙(KP) 라무시루맙
뜨로포폴 프로포폴
테디졸리드(JP) 테디졸리드
자보플록사신 자보플록사신
다클라타스비르(KPC) 다클라타스비르
소포스부니르 소포스부비르
레디파스비르(KHP) 레디파스비르
서양고추나물 서양고추나물
모메타손(JP) 모메타손
에소메뜨라졸 에소메프라졸
란소프라졸(JP) 란소프라졸
덱슬란소뜨라졸 덱슬란소프라졸
라베프라졸(USP) 라베프라졸
판토뜨라졸 판토프라졸
에스-판토프라졸(KHP) 에스-판토프라졸
알클로메다손 알클로메타손
염화스트론튬(KPC) 염화스트론튬
미메틸푸마르산염 디메틸푸마르산염
발사르탄(KPC) 발사르탄
사쿠니트릴 사쿠비트릴
닌테다닙(KPC) 닌테다닙
파시레오다이드 파시레오타이드
엘로투주맙(USP) 엘로투주맙
니볼루맙 니볼루맙
올무티닙(KP) 올무티닙
팔보시클립 팔보시클립
펨브롤리주맙(KHP) 펨브롤리주맙
룩솔리티닙 룩솔리티닙
에토노게스트렐(KP) 에토노게스트렐
인간융모성생식선자극호르몬 인간융모성생식선자극호르몬
루트로민알파 루트로핀알파
다베포에틴알파(JP) 다베포에틴알파
에리트로포이에틴 에리트로포이에틴
메톡시폴리에틸렌글리콜-에포에틴베타(KP) 메톡시폴리에틸렌글리콜-에포에틴베타
옥트레오다이드 옥트레오타이드
카르베토신(KHP) 카르베토신
미노뜨로스톤 디노프로스톤
설프로스톤(USP) 설프로스톤
리토드린 리토드린
알푸조신(KPC) 알푸조신
탐술로신 탐술로신
테라조신(KPC) 테라조신
미에틸뜨로피온 디에틸프로피온
마진돌(JP) 마진돌
펜미메트라진 펜디메트라진
펜터민(JP) 펜터민
부뜨로피온 부프로피온
날트렉손(KHP) 날트렉손
오르리스다트 오르리스타트
날트렉손(KP) 날트렉손
2-데옥시-2-플루오로-D-글루코스(18F) 2-데옥시-2-플루오로-D-글루코스(18F)
6-플루오로-(18F)-L-도파(JP) 6-플루오로-(18F)-L-도파
플루오르화나트륨(18F) 플루오르화나트륨(18F)
염산N-이소프로필-4-요오도암페타민(123I)(KP) 염산N-이소프로필-4-요오도암페타민(123I)
3-요오도벤질구야니딘(123I) 3-요오도벤질구아니딘(123I)
3-요오도벤질구아니딘(131I)(KHP) 3-요오도벤질구아니딘(131I)
6β-요오드메칠-19-노르코레스트-5(10)-엔-3β-올(131I) 6β-요오드메칠-19-노르코레스트-5(10)-엔-3β-올(131I)
과테크네튬산나트륨(99mTc)(JP) 과테크네튬산나트륨(99mTc)
몰리브덴산나트륨 몰리브덴산나트륨
베티아타이드(JP) 베티아타이드
메르티야다이드 메르티아타이드
디메르캅토숙신산(KP) 디메르캅토숙신산
옥시드론산나트륨 옥시드론산나트륨
엑사메타짐(KPC) 엑사메타짐
메브로페닌 메브로페닌
메틸렌디포스폰산(JP) 메틸렌디포스폰산
펜테트산 펜테트산
피트산나트륨(JP) 피트산나트륨
피로인산나트륨 피로인산나트륨
테트라키스구리(I)사불화붕산(KP) 테트라키스구리(I)사불화붕산
테트라소미움 테트라소디움
테트로포스민(KPC) 테트로포스민
암모니야N13 암모니아N13
에데트산크롬(Cr-51)(KPC) 에데트산크롬(Cr-51)
구연산갈륨 구연산갈륨
라듐-223염화물(KP) 라듐-223염화물
크롬산나트륨(51Cr) 크롬산나트륨(51Cr)
염화탈륨(201Tl)(KPC) 염화탈륨(201Tl)
우레야(13C) 우레아(13C)
염화이트리움(KP) 염화이트리움
부피파가인 부피바카인
레보부피바카인(KHP) 레보부피바카인
테리플루노미드 테리플루노미드
엔잘루타미드(KPC) 엔잘루타미드
오시머티닙 오시머티닙
반데타닙(KP) 반데타닙
야나그렐리드 아나그렐리드
BCG타이스균주(USP) BCG타이스균주
마이파머티드 마이파머티드
레보설피리드(KHP) 레보설피리드
소마토스다틴 소마토스타틴
소마트로핀(KHP) 소마트로핀
테리파라다이드 테리파라타이드
프레드니손(KP) 프레드니손
뜨로메스트리엔 프로메스트리엔
톨테로딘(JP) 톨테로딘
린다네 린다네
알파트라디올(KHP) 알파트라디올
에쿨리주맙 에쿨리주맙
그라조프레비르(KPC) 그라조프레비르
엘파스니르르 엘바스비르르
루파타딘푸마르산염(KP) 루파타딘푸마르산염
야뜨레밀라스트 아프레밀라스트
바리시티닙(KP) 바리시티닙
익세키주맙 익세키주맙
아질사르탄메독소밀칼륨(KP) 아질사르탄메독소밀칼륨
